"","Discipline","Airport Systems","Civil and Structure","Finishes","Furniture and Signage","IT Systems","Landscape","MEPF","Pavement and Ultilities","Roof and Façade","Terminal 1","Terminal 2"
"1","Airport Systems",827888624.516899,0,0,0,0,0,0,0,0,0,0
"2","Architectural",0,0,0,0,0,0,0,0,0,0,31972700
"3","Civil and Structure",0,408361248.316621,0,0,0,0,0,0,0,0,0
"4","Finishes",0,0,2352065080.63616,0,0,0,0,0,0,0,0
"5","Furniture and Signage",0,0,0,377969719.184772,0,0,0,0,0,0,0
"6","IT",0,0,0,0,765677340.593664,0,0,0,0,2e+07,0
"7","Landscape",0,0,0,0,0,347782222.29,0,0,0,0,0
"8","MEPF",0,0,0,0,0,0,487720514.346902,0,0,0,0
"9","Pavement and Ultilities",0,0,0,0,0,0,0,754610910.280396,0,0,0
"10","Roof and Façade",0,0,0,0,0,0,0,0,1111428514.70549,0,0
"11","Structural",0,0,0,0,0,0,0,0,0,1.05e+08,0
